subscriber_id,age,country,profession_segment,plan_type,monthly_price_usd,tenure_months,auto_renew_enabled,days_until_renewal,payment_method,weekly_learning_hours,sessions_per_week,avg_session_duration_minutes,days_since_last_login,courses_started,courses_completed,active_courses_count,avg_course_progress_pct,certificates_earned,quiz_attempts_last_30d,assignment_submissions_last_30d,forum_posts_last_30d,payment_failures_last_6m,refund_requests_last_12m,support_tickets_last_90d,avg_support_resolution_hours,email_open_rate,recommendation_click_rate,churn_label
SUB_000020,30,Germany,job_seeker,standard,20.03,24,1,3,debit_card,7.4,7,71.8,9,6,1,4,53.2,1,23,7,1,0,0,0,4.9,0.14,0.091,0
SUB_000021,44,USA,finance,basic,12.59,6,1,13,paypal,4.4,3,5.0,19,2,0,2,35.9,0,7,0,4,0,0,1,1.0,0.536,0.227,0
SUB_000022,43,India,data_analyst,basic,11.08,10,1,3,upi,8.7,5,55.5,20,2,1,0,50.7,0,0,2,1,0,0,1,16.8,0.715,0.464,0
SUB_000023,23,Germany,other,basic,13.71,27,1,29,credit_card,4.4,5,62.4,13,6,2,3,32.6,1,8,2,2,0,0,0,5.9,0.532,0.281,0
SUB_000024,44,Germany,teacher,basic,10.21,9,1,15,bank_transfer,6.1,10,38.3,8,6,3,1,48.5,2,13,5,1,0,0,1,40.2,0.759,0.516,0
SUB_000025,32,USA,other,standard,28.31,18,1,27,paypal,3.5,4,29.3,20,1,0,2,17.4,0,10,7,2,0,1,2,40.9,0.342,0.294,0
SUB_000026,38,Canada,marketing,basic,14.18,4,1,30,credit_card,4.6,5,78.8,30,3,1,2,62.5,1,3,9,1,1,0,0,6.1,0.15,0.075,0
SUB_000027,26,India,software_engineer,basic,14.15,14,1,0,credit_card,5.6,5,60.0,11,2,0,1,24.2,0,1,0,1,0,1,3,53.8,0.582,0.342,1
SUB_000028,23,USA,student,standard,21.52,11,0,17,paypal,5.8,5,38.3,9,8,3,5,94.3,2,23,8,7,0,0,1,23.3,0.242,0.083,0
SUB_000029,36,USA,teacher,standard,26.29,6,1,18,credit_card,5.9,4,48.2,16,2,0,1,36.5,0,0,1,1,0,0,0,1.9,0.541,0.286,0
SUB_000030,18,India,student,premium,40.28,10,1,20,upi,6.5,5,46.9,16,3,1,3,51.7,1,20,6,2,0,0,0,1.8,0.63,0.375,0
SUB_000031,38,USA,software_engineer,basic,14.23,14,0,30,paypal,7.0,5,67.9,14,3,1,3,79.9,0,9,7,3,0,1,3,43.8,0.233,0.144,1
SUB_000032,44,India,marketing,premium,54.45,21,1,9,bank_transfer,3.7,6,44.3,17,1,0,1,56.7,0,10,6,0,1,0,2,55.9,0.348,0.185,0
SUB_000033,32,India,designer,standard,25.3,31,1,24,upi,10.5,2,41.7,6,7,3,4,72.1,2,19,10,2,0,0,3,33.5,0.272,0.267,0
SUB_000034,44,Brazil,designer,standard,27.3,20,1,4,bank_transfer,6.4,7,36.0,19,4,2,2,42.8,1,6,5,0,0,1,2,42.9,0.499,0.25,0
SUB_000035,22,Brazil,student,standard,20.93,25,1,12,paypal,8.9,5,66.5,10,6,1,5,62.0,1,17,12,4,0,0,0,3.8,0.443,0.292,0
SUB_000036,40,Canada,data_analyst,standard,25.28,5,1,5,credit_card,4.8,0,41.4,17,2,0,2,9.4,0,7,1,0,0,0,0,5.7,0.179,0.128,0
SUB_000037,21,Germany,designer,premium,45.82,5,1,29,debit_card,6.6,2,53.0,9,3,1,1,53.3,1,9,2,1,0,1,3,54.1,0.314,0.333,0
SUB_000038,60,India,other,premium,59.44,17,1,22,debit_card,7.4,6,65.2,3,3,1,3,68.3,1,14,11,1,0,0,1,39.5,0.403,0.301,0
SUB_000039,45,UK,teacher,basic,14.28,4,0,3,bank_transfer,0.9,0,42.8,26,1,0,1,6.7,0,6,0,4,0,1,2,35.4,0.0,0.0,1
SUB_000040,33,USA,other,basic,13.66,9,0,15,credit_card,10.2,8,32.9,8,4,1,2,74.5,0,11,5,3,0,0,1,15.2,0.721,0.458,0
SUB_000041,21,India,teacher,standard,29.33,19,1,7,upi,7.2,7,32.0,13,4,1,2,31.0,0,14,4,1,0,1,2,45.1,0.152,0.007,0
SUB_000042,36,USA,designer,premium,46.93,28,1,15,debit_card,5.5,2,28.8,35,5,2,2,71.9,1,10,6,0,1,1,3,37.3,0.0,0.0,1
SUB_000043,22,India,software_engineer,basic,14.49,15,1,10,debit_card,7.6,3,33.6,17,4,0,3,50.4,0,8,1,0,0,0,1,34.7,0.524,0.334,0
SUB_000044,37,Brazil,finance,standard,23.24,5,1,21,bank_transfer,3.5,3,62.7,17,2,0,3,31.2,0,14,0,1,0,0,3,41.3,0.62,0.428,0
SUB_000045,37,India,finance,standard,27.32,11,0,26,credit_card,3.8,5,94.5,8,5,1,5,67.8,0,20,10,1,0,0,2,35.9,0.515,0.356,0
SUB_000046,26,UK,designer,standard,27.35,12,1,0,paypal,5.8,5,35.7,5,5,1,4,56.0,1,20,8,3,0,0,0,6.3,0.061,0.193,0
SUB_000047,42,Germany,marketing,standard,20.17,7,0,21,debit_card,4.4,1,25.3,22,4,1,3,47.8,1,12,3,2,1,0,1,24.2,0.191,0.089,0
SUB_000048,40,USA,marketing,basic,11.8,3,1,17,credit_card,8.7,7,44.8,18,4,1,5,85.4,0,10,12,3,0,0,3,53.7,0.0,0.051,0
SUB_000049,41,USA,software_engineer,premium,40.38,20,1,3,credit_card,9.6,8,19.1,0,9,4,5,81.1,3,24,16,4,0,0,1,13.8,0.597,0.517,0
SUB_000050,34,India,marketing,standard,29.96,10,1,10,credit_card,5.1,7,86.0,10,3,1,4,63.3,1,13,5,2,0,0,2,21.5,0.201,0.11,0
SUB_000051,22,Brazil,software_engineer,standard,21.21,18,1,19,paypal,3.6,5,28.0,19,4,2,2,55.4,2,5,7,3,0,0,2,12.3,0.359,0.234,0
SUB_000052,33,UK,job_seeker,basic,12.7,14,1,9,credit_card,5.6,7,43.2,9,8,3,5,66.7,3,23,11,4,0,0,1,49.0,0.265,0.079,0
SUB_000053,31,Brazil,software_engineer,standard,27.9,10,0,15,credit_card,5.5,4,52.7,13,3,1,2,40.3,0,10,4,0,0,0,0,5.2,0.312,0.176,0
SUB_000054,18,Brazil,student,basic,11.0,9,0,28,paypal,6.4,3,50.6,7,6,2,5,85.9,1,22,9,1,0,0,1,30.6,0.271,0.26,0
SUB_000055,44,USA,data_analyst,basic,12.42,11,1,9,credit_card,0.8,5,37.8,11,2,1,2,14.9,1,7,0,3,0,0,0,2.3,0.003,0.09,0
SUB_000056,50,Brazil,finance,standard,26.06,16,0,4,bank_transfer,7.0,3,52.7,8,3,1,2,20.7,0,13,6,1,0,0,0,5.1,0.416,0.204,0
SUB_000057,33,India,data_analyst,standard,21.59,1,1,25,upi,7.2,4,29.9,7,3,1,2,62.4,1,12,4,0,0,0,0,7.6,0.407,0.362,0
SUB_000058,51,India,software_engineer,standard,27.78,16,1,27,credit_card,5.7,3,47.2,11,3,1,2,40.3,1,12,10,2,0,0,2,18.2,0.296,0.261,0
SUB_000059,34,India,designer,basic,11.49,15,1,17,upi,6.4,7,67.1,11,5,3,3,80.0,1,10,2,2,0,0,0,2.6,0.416,0.238,0
SUB_000060,30,Germany,data_analyst,standard,22.1,19,1,21,upi,5.2,3,30.8,33,4,0,4,37.3,0,22,7,1,0,1,1,46.0,0.276,0.052,1
SUB_000061,29,Germany,other,standard,25.57,29,0,10,credit_card,5.5,4,41.3,18,2,0,3,44.1,0,8,2,0,0,1,0,6.0,0.658,0.305,1
SUB_000062,52,India,other,standard,24.09,7,1,2,upi,8.5,6,51.9,12,3,1,3,58.4,1,4,5,1,1,0,2,14.5,0.181,0.171,0
SUB_000063,27,Canada,marketing,basic,14.59,3,0,8,paypal,7.9,3,51.1,16,4,1,3,42.6,1,14,2,0,0,0,0,3.9,0.098,0.01,0
SUB_000064,39,Germany,software_engineer,standard,28.79,13,0,14,bank_transfer,7.0,5,48.2,23,0,0,1,28.1,0,4,1,0,0,1,0,3.6,0.22,0.019,1
SUB_000065,29,Germany,teacher,premium,49.66,12,1,21,debit_card,6.6,5,54.7,22,4,1,4,51.7,0,19,6,3,0,0,4,40.1,0.732,0.512,0
SUB_000066,21,USA,student,basic,11.79,9,1,18,paypal,3.9,5,30.0,32,3,1,1,44.8,1,8,4,0,0,0,0,4.5,0.181,0.02,0
SUB_000067,42,India,marketing,basic,11.62,16,0,18,credit_card,4.7,3,14.0,22,4,0,5,75.4,0,16,8,2,0,0,3,14.9,0.464,0.262,1
SUB_000068,30,Canada,software_engineer,standard,22.67,7,0,4,credit_card,3.0,6,51.4,23,4,2,4,68.2,1,12,5,0,0,0,3,14.4,0.188,0.047,1
SUB_000069,31,India,other,standard,25.44,10,1,5,upi,6.7,5,42.3,15,4,1,4,68.5,0,9,7,1,0,0,1,12.3,0.067,0.105,0
SUB_000070,26,Brazil,student,standard,28.04,16,0,3,credit_card,6.1,6,59.5,6,4,2,4,64.0,2,16,11,1,0,0,0,5.8,0.435,0.286,0
SUB_000071,46,UK,designer,standard,23.1,9,0,11,paypal,7.5,7,43.5,11,3,1,2,52.4,0,7,4,1,1,0,1,6.9,0.376,0.151,0
SUB_000072,39,India,teacher,basic,10.94,12,1,4,debit_card,8.1,2,36.4,15,4,1,3,71.1,1,10,8,3,0,0,0,2.7,0.468,0.298,0
SUB_000073,28,India,marketing,basic,12.37,9,0,2,paypal,5.4,5,35.6,22,6,1,4,50.5,1,19,9,1,0,0,4,60.0,0.462,0.226,0
SUB_000074,21,Canada,student,basic,10.34,5,1,9,credit_card,12.4,7,19.0,10,1,0,1,27.3,0,15,2,1,1,0,0,2.4,0.59,0.374,0
SUB_000075,36,UK,other,basic,13.5,19,1,12,credit_card,2.6,3,38.2,24,1,0,1,20.2,0,15,0,1,0,0,1,34.8,0.594,0.316,0
SUB_000076,36,UK,marketing,standard,25.17,18,1,3,debit_card,6.8,2,30.8,13,2,1,2,34.3,0,13,7,1,0,0,1,43.5,0.506,0.354,1
SUB_000077,26,UK,designer,basic,12.47,18,1,23,paypal,7.6,4,55.3,12,3,1,2,73.2,0,13,4,1,0,1,0,4.9,0.734,0.362,0
SUB_000078,39,India,software_engineer,premium,46.0,10,0,7,debit_card,8.1,5,51.7,7,4,1,4,97.2,0,18,6,0,0,0,2,51.2,0.635,0.37,0
SUB_000079,34,Germany,marketing,premium,58.08,20,1,0,credit_card,6.6,8,57.2,13,6,1,4,75.6,0,15,7,4,0,0,0,3.3,0.562,0.404,0
SUB_000080,21,India,data_analyst,premium,41.8,21,1,19,upi,8.5,3,58.2,6,5,2,4,84.5,0,11,5,3,0,0,1,31.6,0.293,0.291,0
SUB_000081,20,Canada,student,premium,57.39,26,0,1,paypal,11.1,6,60.4,18,3,1,3,48.0,0,15,12,5,0,0,1,29.9,0.482,0.247,0
SUB_000082,21,USA,student,basic,11.87,10,1,3,credit_card,6.2,2,56.7,8,1,0,1,40.2,0,3,1,3,0,0,2,56.6,0.277,0.16,0
SUB_000083,27,Germany,job_seeker,premium,57.6,13,1,20,credit_card,7.6,4,40.9,10,3,1,3,42.9,1,16,6,0,0,0,0,4.2,0.206,0.26,0
SUB_000084,49,India,software_engineer,basic,13.63,5,0,0,upi,2.9,7,58.0,6,6,1,5,70.1,1,17,5,1,0,0,0,5.0,0.663,0.386,1
SUB_000085,35,Germany,software_engineer,basic,10.51,29,1,27,bank_transfer,4.3,5,56.8,11,3,1,3,70.0,1,9,2,0,2,0,2,48.1,0.435,0.303,0
SUB_000086,27,Germany,marketing,standard,28.31,9,0,20,credit_card,11.7,5,45.2,9,3,1,2,42.0,0,17,6,0,0,0,2,48.2,0.245,0.125,0
SUB_000087,35,UK,teacher,basic,13.4,4,1,6,debit_card,3.6,5,52.5,10,4,1,4,50.2,1,18,4,1,0,1,3,57.4,0.211,0.044,1
SUB_000088,21,USA,student,premium,40.64,27,1,4,credit_card,4.4,4,49.3,14,1,0,1,24.0,0,8,4,0,0,0,0,4.5,0.0,0.143,0
SUB_000089,36,Brazil,designer,standard,21.33,10,1,22,credit_card,8.8,4,50.9,12,2,1,2,33.9,1,4,7,3,0,0,0,2.1,0.34,0.207,1
SUB_000090,24,USA,student,standard,26.35,36,1,12,paypal,5.2,5,57.6,7,5,1,5,69.6,1,16,7,3,0,0,0,2.8,0.556,0.447,0
SUB_000091,26,India,student,basic,13.3,12,1,24,credit_card,3.8,5,61.8,19,2,1,0,25.7,1,6,2,0,2,0,2,43.0,0.512,0.316,0
SUB_000092,22,UK,student,standard,27.46,7,1,12,debit_card,6.6,5,16.6,13,3,1,2,51.9,1,0,4,1,0,0,1,39.1,0.664,0.437,0
SUB_000093,37,UK,job_seeker,basic,13.59,20,1,7,credit_card,12.1,7,59.2,8,4,1,3,45.6,0,11,9,3,0,0,0,5.5,0.541,0.263,0
SUB_000094,25,USA,student,premium,53.18,10,1,16,paypal,6.2,1,49.0,17,3,0,4,36.3,0,9,4,2,0,0,0,4.5,0.448,0.151,0
SUB_000095,20,UK,student,basic,13.82,17,1,29,credit_card,6.1,4,66.5,14,6,3,2,54.5,2,17,1,0,0,0,0,3.9,0.054,0.025,0
SUB_000096,51,USA,data_analyst,standard,25.74,7,1,30,credit_card,8.5,4,49.6,15,2,0,2,41.6,0,10,3,1,0,0,1,28.7,0.293,0.167,0
SUB_000097,29,USA,job_seeker,basic,11.29,16,1,9,credit_card,3.7,6,51.3,10,3,0,3,61.1,0,7,5,2,0,0,2,40.9,0.888,0.535,0
SUB_000098,27,Germany,software_engineer,basic,14.55,9,0,9,paypal,4.3,3,42.2,18,3,0,2,57.4,0,12,3,0,0,0,1,16.6,0.242,0.056,1
SUB_000099,47,India,data_analyst,standard,20.17,19,1,1,credit_card,8.1,3,27.9,17,6,2,5,33.3,2,24,9,0,0,0,1,16.3,0.635,0.327,0
SUB_000100,29,India,student,basic,11.82,11,1,5,credit_card,10.6,5,52.8,23,4,2,1,36.2,1,0,1,2,0,0,0,3.8,0.447,0.22,0
SUB_000101,33,India,marketing,standard,27.28,13,0,20,credit_card,6.1,6,48.7,12,5,3,3,48.8,2,12,6,1,0,1,2,73.9,0.755,0.458,1
SUB_000102,29,USA,designer,basic,12.13,10,0,0,debit_card,9.0,5,53.3,11,5,1,5,70.4,1,15,8,0,2,0,4,52.8,0.339,0.217,0
SUB_000103,32,Germany,designer,basic,10.11,11,1,29,debit_card,9.2,4,81.8,9,2,0,1,36.8,0,11,3,1,0,0,3,51.2,0.68,0.46,1
SUB_000104,39,USA,software_engineer,standard,20.65,19,1,17,credit_card,3.2,2,41.4,16,3,1,1,60.4,0,9,6,0,0,1,3,56.7,0.335,0.202,1
SUB_000105,44,Brazil,software_engineer,basic,13.23,5,1,2,debit_card,4.0,1,38.1,13,4,1,4,48.0,1,23,2,0,1,0,1,3.2,0.252,0.104,0
SUB_000106,24,India,student,basic,14.81,14,0,25,upi,4.4,4,51.5,7,0,0,1,36.6,0,8,1,2,0,0,1,23.2,0.546,0.442,0
SUB_000107,34,Germany,data_analyst,premium,51.03,48,1,20,bank_transfer,9.9,6,68.3,1,5,2,3,81.5,2,19,8,1,1,0,0,7.0,0.685,0.479,0
SUB_000108,27,UK,student,basic,12.52,25,0,6,credit_card,5.0,4,50.3,11,7,2,4,63.1,2,23,9,4,0,0,1,9.2,0.405,0.346,0
SUB_000109,31,India,teacher,basic,11.58,10,1,15,debit_card,7.0,8,55.2,7,0,0,0,37.7,0,1,3,0,0,0,1,43.9,0.654,0.469,0
SUB_000110,46,India,other,basic,11.27,12,1,21,upi,1.0,4,37.0,17,5,1,4,27.2,0,21,8,1,0,0,0,3.7,0.583,0.292,0
SUB_000111,33,Germany,other,standard,20.2,8,0,2,credit_card,7.3,2,50.4,21,1,0,1,10.3,0,0,0,1,0,0,0,3.1,0.593,0.322,0
SUB_000112,30,India,job_seeker,standard,22.72,17,0,5,paypal,9.9,6,38.2,6,5,2,3,76.5,1,14,7,3,0,0,1,19.9,0.39,0.306,0
SUB_000113,33,Brazil,designer,basic,12.24,4,0,3,upi,6.4,0,30.3,24,3,0,4,40.6,0,8,6,3,0,0,2,27.4,0.012,0.0,0
SUB_000114,33,Canada,teacher,standard,21.97,9,0,15,credit_card,3.4,5,54.4,20,3,1,1,7.5,0,11,1,0,0,0,4,46.2,0.403,0.192,0
SUB_000115,30,USA,software_engineer,basic,10.43,7,0,2,credit_card,6.0,4,45.0,12,3,1,2,56.3,0,8,7,0,0,0,0,1.0,0.085,0.144,0
SUB_000116,44,Canada,finance,standard,27.17,8,0,3,paypal,4.8,5,26.8,16,2,1,1,29.3,0,5,0,0,0,1,3,43.9,0.0,0.0,1
SUB_000117,28,Canada,marketing,basic,14.46,13,1,10,credit_card,3.4,3,36.3,23,2,0,3,49.0,0,7,2,1,0,0,2,34.5,0.097,0.056,0
SUB_000118,28,India,marketing,standard,29.36,2,1,23,upi,9.7,5,40.3,8,0,0,2,71.7,0,13,5,1,0,0,1,28.5,0.394,0.312,0
SUB_000119,50,Brazil,teacher,premium,52.35,9,1,16,bank_transfer,7.4,5,34.2,9,5,2,2,31.4,2,13,3,2,0,0,3,39.6,0.785,0.461,0
SUB_000120,41,USA,software_engineer,standard,20.52,8,0,18,paypal,7.5,1,65.0,7,5,1,4,63.2,1,10,9,2,1,1,2,61.5,0.353,0.353,1
SUB_000121,21,Canada,software_engineer,premium,54.81,21,1,25,paypal,10.1,7,47.9,6,3,1,2,62.2,0,17,2,2,0,0,0,3.9,0.569,0.508,0
SUB_000122,30,Brazil,other,basic,10.54,6,1,30,debit_card,1.6,3,48.7,13,3,1,2,46.9,1,13,5,1,0,1,0,5.9,0.873,0.496,0
SUB_000123,18,Germany,student,basic,13.34,14,1,27,bank_transfer,10.0,5,47.6,10,1,0,1,74.1,0,4,0,2,0,0,0,1.0,0.276,0.176,0
SUB_000124,26,India,marketing,basic,13.89,10,0,7,paypal,4.8,4,29.0,16,4,1,4,13.6,1,18,5,1,1,1,0,4.1,0.416,0.153,1
SUB_000125,18,India,other,basic,13.62,22,1,27,debit_card,4.7,5,31.7,19,2,1,1,23.9,1,3,3,0,0,0,0,4.5,0.046,0.0,1
SUB_000126,32,Germany,designer,basic,14.75,21,1,13,bank_transfer,8.5,7,50.3,9,3,1,2,61.2,1,11,3,2,0,0,2,35.7,0.559,0.345,0
SUB_000127,24,Canada,designer,basic,13.68,32,1,25,paypal,8.5,3,65.8,16,6,3,3,62.9,0,16,3,0,0,0,0,1.3,0.308,0.228,0
SUB_000128,34,Canada,software_engineer,standard,26.92,23,1,15,credit_card,12.6,3,53.2,16,4,1,2,50.8,1,8,8,3,0,0,1,40.4,0.364,0.142,0
SUB_000129,21,India,data_analyst,basic,11.3,14,1,24,upi,2.9,3,60.3,19,4,1,2,33.6,0,11,0,0,0,1,0,2.6,0.255,0.243,0
SUB_000130,28,USA,job_seeker,basic,14.61,20,1,18,credit_card,7.4,5,33.6,24,2,1,2,43.4,0,0,5,0,0,0,1,15.4,0.386,0.125,1
SUB_000131,30,Germany,designer,basic,10.89,10,1,15,debit_card,5.9,5,43.9,12,0,0,2,38.3,0,4,3,1,0,0,0,5.8,0.563,0.304,0
SUB_000132,46,India,marketing,premium,58.09,13,0,24,bank_transfer,3.5,5,25.8,13,2,1,1,22.8,0,1,5,2,0,2,2,64.2,0.276,0.097,1
SUB_000133,27,India,student,basic,11.55,13,0,9,upi,7.0,3,50.0,10,2,0,2,28.9,0,12,0,3,0,1,2,23.7,0.181,0.0,0
SUB_000134,25,Germany,student,standard,21.29,6,1,14,upi,6.9,5,62.3,19,3,1,2,51.0,1,0,6,2,0,0,0,6.5,0.618,0.293,0
SUB_000135,32,Brazil,other,standard,28.26,22,1,26,upi,8.7,4,64.2,6,3,2,3,56.3,2,4,1,4,1,0,3,29.9,0.514,0.425,0
SUB_000136,49,Germany,data_analyst,standard,20.01,27,1,25,bank_transfer,8.1,7,66.0,5,3,1,2,51.7,1,8,5,0,0,0,0,6.1,0.449,0.358,0
SUB_000137,21,USA,designer,basic,14.15,10,0,3,bank_transfer,5.8,6,41.2,14,4,1,2,10.5,0,9,1,1,0,0,1,43.0,0.605,0.389,1
SUB_000138,18,UK,student,basic,11.3,11,1,27,credit_card,7.7,4,52.1,12,3,1,2,45.5,0,10,1,0,1,0,1,34.7,0.73,0.406,0
SUB_000139,33,Germany,finance,standard,28.84,7,1,3,credit_card,5.0,3,59.7,9,7,1,6,59.8,0,32,10,3,0,0,0,3.0,0.546,0.222,0
SUB_000140,58,Brazil,other,basic,13.45,5,0,28,debit_card,3.4,1,54.0,17,1,0,2,34.6,0,4,0,2,0,0,3,30.6,0.277,0.074,0
SUB_000141,32,Brazil,designer,basic,13.32,18,1,12,bank_transfer,8.4,5,46.0,22,4,0,4,45.0,0,15,7,2,0,0,0,3.0,0.549,0.341,0
SUB_000142,22,India,student,basic,11.82,5,1,11,upi,2.3,2,31.5,12,3,0,3,59.0,0,5,5,3,0,0,0,1.0,0.421,0.24,0
SUB_000143,22,USA,designer,premium,41.18,5,1,14,debit_card,7.6,5,63.6,12,2,0,1,31.1,0,6,2,2,0,0,1,15.1,0.405,0.285,0
SUB_000144,41,Germany,teacher,standard,28.29,17,0,28,debit_card,3.8,3,39.3,24,0,0,0,24.3,0,0,0,3,0,0,0,1.4,0.231,0.1,1
SUB_000145,41,Germany,data_analyst,standard,21.7,13,1,22,paypal,9.2,4,48.4,17,6,3,2,53.7,3,1,7,0,0,0,3,30.2,0.602,0.33,0
SUB_000146,32,India,job_seeker,standard,23.71,18,1,12,upi,8.4,6,39.8,9,4,1,3,65.8,1,17,10,3,0,0,0,5.4,0.667,0.51,0
SUB_000147,28,USA,finance,premium,52.0,7,0,5,credit_card,5.9,2,48.2,21,3,1,3,65.3,1,11,7,1,0,0,2,37.0,0.297,0.051,0
SUB_000148,23,USA,job_seeker,standard,24.81,34,0,25,credit_card,2.9,4,33.1,12,3,0,2,12.0,0,12,7,1,1,0,1,56.1,0.615,0.335,1
SUB_000149,23,India,finance,standard,21.98,6,1,13,upi,4.8,5,33.8,18,5,1,6,54.1,1,14,14,4,0,0,0,2.9,0.271,0.173,1
SUB_000150,23,India,student,premium,42.8,8,1,30,credit_card,4.8,5,39.6,8,5,2,4,47.5,1,13,1,0,0,0,0,4.5,0.712,0.483,0
SUB_000151,25,Brazil,software_engineer,standard,21.22,7,0,2,bank_transfer,8.6,7,64.1,8,2,1,2,72.9,1,5,5,2,0,0,0,5.1,0.717,0.467,0
SUB_000152,24,India,software_engineer,basic,14.31,34,1,7,debit_card,6.3,6,41.6,8,4,2,2,37.6,2,7,2,1,0,0,1,1.5,0.271,0.198,0
SUB_000153,31,India,other,basic,10.15,9,0,11,credit_card,6.6,4,44.9,21,3,1,1,38.9,1,5,5,4,0,0,0,5.2,0.171,0.017,0
SUB_000154,30,USA,teacher,standard,29.76,5,0,29,credit_card,3.1,4,34.2,14,1,0,1,21.5,0,0,0,0,0,0,1,28.6,0.544,0.338,1
SUB_000155,29,Brazil,finance,premium,43.96,46,1,13,bank_transfer,7.6,4,33.0,9,2,1,2,37.7,0,9,8,2,0,0,0,4.2,0.49,0.301,1
SUB_000156,37,India,software_engineer,standard,21.09,30,1,4,credit_card,8.9,4,65.3,10,2,1,3,39.1,1,8,2,2,0,0,1,33.9,0.354,0.195,0
SUB_000157,34,UK,software_engineer,standard,25.76,25,1,1,debit_card,11.4,5,54.0,14,3,1,3,62.9,0,5,7,4,0,0,0,4.1,0.6,0.379,0
SUB_000158,31,UK,teacher,standard,20.79,29,1,9,credit_card,4.1,4,57.0,25,2,0,4,49.1,0,12,8,2,0,1,2,64.3,0.464,0.235,0
SUB_000159,35,India,marketing,standard,26.01,6,1,29,upi,9.4,4,53.9,8,4,1,4,45.2,0,14,7,2,0,0,0,2.8,0.551,0.304,0
SUB_000160,26,UK,software_engineer,standard,28.5,32,1,2,credit_card,7.4,7,46.7,11,7,4,3,58.4,1,15,5,2,1,0,3,32.3,0.262,0.194,0
SUB_000161,34,Germany,designer,basic,10.23,10,1,22,credit_card,8.1,7,43.9,4,4,1,4,41.9,1,28,7,4,0,0,1,28.6,0.509,0.349,0
